id,label,community
372,Misinformation,30
373,Reliable,28
374,Reliable,13
375,Reliable,26
376,Misinformation,5
377,Reliable,26
378,Reliable,5
379,Misinformation,10
380,Reliable,26
381,Reliable,11
382,Reliable,26
383,Reliable,28
384,Reliable,26
385,Reliable,28
386,Misinformation,11
387,Misinformation,26
388,Reliable,13
389,Misinformation,21
390,Reliable,11
391,Reliable,21
392,Reliable,26
393,Reliable,26
394,Reliable,28
395,Reliable,5
396,Reliable,26
397,Misinformation,26
398,Reliable,28
399,Misinformation,25
400,Misinformation,11
401,Misinformation,11
402,Reliable,21
403,Misinformation,1
404,Misinformation,5
405,Reliable,28
406,Misinformation,28
407,Reliable,26
408,Misinformation,5
409,Reliable,13
410,Reliable,21
411,Misinformation,5
412,Reliable,5
413,Reliable,25
414,Reliable,28
415,Reliable,5
416,Misinformation,10
417,Misinformation,5
418,Reliable,26
419,Reliable,3
420,Reliable,11
421,Misinformation,10
422,Reliable,26
423,Misinformation,11
424,Misinformation,11
425,Reliable,13
426,Reliable,28
427,Reliable,28
428,Misinformation,10
429,Misinformation,5
430,Reliable,10
431,Reliable,26
432,Misinformation,11
433,Reliable,28
434,Reliable,26
435,Reliable,3
436,Reliable,21
437,Reliable,21
438,Misinformation,29
439,Misinformation,1
440,Reliable,13
441,Misinformation,5
442,Reliable,25
443,Reliable,13
444,Misinformation,25
445,Reliable,13
446,Misinformation,1
447,Reliable,3
448,Reliable,5
449,Misinformation,26
450,Reliable,5
451,Reliable,13
452,Reliable,10
453,Reliable,5
454,Misinformation,11
455,Misinformation,25
456,Reliable,5
457,Reliable,13
458,Misinformation,28
459,Reliable,3
460,Misinformation,28
461,Misinformation,28
462,Misinformation,11
463,Misinformation,28
464,Reliable,10
465,Misinformation,28
466,Reliable,28
467,Reliable,26
468,Reliable,21
469,Misinformation,28
470,Reliable,28
471,Reliable,3
472,Misinformation,26
473,Reliable,13
474,Misinformation,11
475,Misinformation,25
476,Misinformation,11
477,Misinformation,29
478,Misinformation,11
479,Reliable,30
480,Misinformation,1
481,Misinformation,26
482,Misinformation,5
483,Misinformation,28
484,Misinformation,28
485,Misinformation,28
486,Reliable,13
487,Misinformation,5
488,Misinformation,11
489,Misinformation,11
490,Reliable,28
491,Reliable,28
492,Misinformation,25
493,Reliable,28
494,Reliable,13
495,Reliable,5
496,Misinformation,28
497,Reliable,26
498,Reliable,13
499,Misinformation,28
500,Reliable,28
501,Reliable,26
502,Misinformation,5
503,Misinformation,5
504,Reliable,26
505,Misinformation,1
506,Reliable,26
507,Reliable,26
508,Misinformation,11
509,Misinformation,28
510,Misinformation,1
511,Reliable,28
512,Misinformation,11
513,Reliable,13
514,Reliable,13
515,Misinformation,5
516,Misinformation,5
517,Reliable,28
518,Misinformation,28
519,Reliable,13
520,Reliable,5
521,Misinformation,5
522,Reliable,28
523,Misinformation,28
524,Misinformation,11
525,Reliable,26
526,Reliable,11
527,Misinformation,28
528,Reliable,10
529,Misinformation,28
530,Reliable,28
531,Misinformation,28
532,Misinformation,11
533,Misinformation,25
534,Reliable,5
535,Misinformation,28
536,Reliable,28
537,Reliable,11
538,Reliable,5
539,Misinformation,11
540,Misinformation,11
541,Reliable,26
542,Reliable,13
543,Misinformation,11
544,Misinformation,29
545,Reliable,28
546,Reliable,28
547,Reliable,13
548,Reliable,13
549,Misinformation,28
550,Misinformation,5
551,Misinformation,5
552,Misinformation,10
553,Reliable,30
554,Reliable,26
555,Reliable,28
556,Reliable,28
557,Misinformation,5
558,Reliable,25
559,Reliable,26
560,Misinformation,21
561,Misinformation,1
562,Reliable,26
563,Misinformation,11
564,Reliable,28
565,Reliable,13
566,Reliable,3
567,Reliable,13
568,Reliable,26
569,Misinformation,5
570,Reliable,13
571,Misinformation,26
572,Misinformation,1
573,Misinformation,5
574,Reliable,28
575,Misinformation,11
576,Reliable,30
577,Reliable,3
578,Misinformation,1
579,Misinformation,5
580,Misinformation,5
581,Reliable,28
582,Misinformation,28
583,Reliable,13
584,Reliable,3
585,Reliable,11
586,Reliable,13
587,Reliable,21
588,Reliable,13
589,Misinformation,1
590,Misinformation,10
591,Misinformation,28
592,Misinformation,11
593,Misinformation,30
594,Misinformation,10
595,Misinformation,1
596,Reliable,25
597,Reliable,3
598,Misinformation,11
599,Reliable,26
600,Misinformation,13
601,Misinformation,11
602,Reliable,13
603,Misinformation,5
604,Reliable,13
605,Misinformation,5
606,Misinformation,28
607,Reliable,26
608,Misinformation,2
609,Misinformation,5
610,Reliable,25
611,Misinformation,29
612,Reliable,3
613,Misinformation,10
614,Reliable,13
615,Reliable,26
616,Misinformation,11
617,Reliable,28
618,Reliable,28
619,Reliable,13
620,Reliable,26
621,Reliable,5
622,Reliable,26
623,Misinformation,11
624,Misinformation,29
625,Misinformation,3
626,Reliable,28
627,Reliable,26
628,Reliable,26
629,Reliable,30
630,Reliable,28
631,Reliable,3
632,Misinformation,13
633,Misinformation,5
634,Misinformation,28
635,Reliable,26
636,Reliable,28
637,Reliable,26
638,Misinformation,28
639,Reliable,26
640,Reliable,28
641,Misinformation,1
642,Misinformation,1
643,Misinformation,28
644,Reliable,26
645,Reliable,28
646,Reliable,5
647,Reliable,28
648,Misinformation,5
649,Reliable,26
650,Reliable,28
651,Reliable,25
652,Reliable,10
653,Reliable,28
654,Reliable,26
655,Misinformation,11
656,Reliable,28
657,Misinformation,10
658,Misinformation,10
659,Misinformation,28
660,Reliable,5
661,Reliable,28
662,Misinformation,1
663,Reliable,26
664,Reliable,26
665,Reliable,13
666,Reliable,3
667,Misinformation,25
668,Reliable,1
669,Reliable,26
670,Misinformation,5
671,Misinformation,5
672,Reliable,25
673,Misinformation,11
674,Misinformation,5
675,Misinformation,11
676,Misinformation,5
677,Misinformation,5
678,Misinformation,5
679,Reliable,26
680,Reliable,13
681,Reliable,25
682,Reliable,13
683,Misinformation,5
684,Misinformation,5
685,Misinformation,13
686,Misinformation,3
687,Misinformation,28
688,Reliable,21
689,Misinformation,29
690,Reliable,13
691,Misinformation,28
692,Misinformation,26
693,Misinformation,28
694,Reliable,28
695,Misinformation,5
696,Misinformation,11
697,Reliable,28
698,Misinformation,28
699,Reliable,26
700,Misinformation,28
701,Misinformation,29
702,Reliable,13
703,Reliable,26
704,Misinformation,5
705,Reliable,28
706,Misinformation,28
707,Misinformation,5
708,Misinformation,5
709,Reliable,11
710,Misinformation,11
711,Misinformation,11
712,Reliable,26
713,Misinformation,21
714,Reliable,13
715,Reliable,11
716,Misinformation,1
717,Misinformation,5
718,Reliable,13
719,Reliable,28
720,Misinformation,26
721,Reliable,28
722,Reliable,21
723,Misinformation,28
724,Reliable,21
725,Reliable,28
726,Misinformation,11
727,Misinformation,5
728,Reliable,13
729,Reliable,5
730,Reliable,28
731,Reliable,13
732,Reliable,26
733,Misinformation,30
734,Misinformation,13
735,Reliable,28
736,Misinformation,5
737,Reliable,21
738,Reliable,28
739,Reliable,26
740,Misinformation,11
741,Misinformation,30
742,Reliable,13
743,Reliable,28
744,Reliable,5
745,Misinformation,1
746,Reliable,28
747,Reliable,28
748,Misinformation,10
749,Reliable,3
750,Misinformation,11
751,Reliable,28
752,Misinformation,11
753,Reliable,5
754,Misinformation,10
755,Reliable,13
756,Misinformation,28
757,Reliable,10
758,Reliable,13
759,Reliable,26
760,Reliable,26
761,Reliable,26
762,Reliable,13
763,Reliable,11
764,Misinformation,11
765,Reliable,13
766,Reliable,26
767,Misinformation,13
768,Misinformation,5
769,Reliable,28
770,Reliable,28
771,Misinformation,5
772,Misinformation,30
773,Misinformation,11
774,Misinformation,21
775,Misinformation,28
776,Misinformation,10
777,Reliable,13
778,Reliable,13
779,Misinformation,1
780,Misinformation,10
781,Misinformation,5
782,Misinformation,11
783,Misinformation,1
784,Reliable,28
785,Misinformation,5
786,Misinformation,28
787,Reliable,25
788,Misinformation,5
789,Misinformation,30
790,Reliable,3
791,Misinformation,13
792,Reliable,1
793,Misinformation,10
794,Misinformation,28
795,Reliable,28
796,Misinformation,28
797,Reliable,26
798,Reliable,28
799,Misinformation,1
800,Misinformation,29
801,Reliable,26
802,Misinformation,28
803,Reliable,10
804,Reliable,3
805,Misinformation,28
806,Misinformation,3
807,Misinformation,5
808,Misinformation,5
809,Reliable,28
810,Misinformation,28
811,Misinformation,5
812,Reliable,28
813,Reliable,13
814,Misinformation,30
815,Reliable,3
816,Reliable,28
817,Reliable,21
818,Reliable,28
819,Reliable,28
820,Misinformation,25
821,Misinformation,11
822,Misinformation,11
823,Reliable,11
824,Reliable,28
825,Misinformation,1
826,Reliable,21
827,Reliable,28
828,Reliable,28
829,Misinformation,28
830,Reliable,28
831,Misinformation,28
832,Reliable,28
833,Misinformation,10
834,Reliable,26
835,Reliable,5
836,Misinformation,28
837,Misinformation,5
838,Misinformation,10
839,Misinformation,5
840,Reliable,13
841,Misinformation,11
842,Reliable,11
843,Misinformation,30
844,Misinformation,29
845,Reliable,28
846,Reliable,21
847,Reliable,26
848,Misinformation,11
849,Misinformation,11
850,Misinformation,28
851,Misinformation,1
852,Reliable,13
853,Misinformation,1
854,Reliable,10
855,Misinformation,29
856,Misinformation,10
857,Misinformation,29
858,Misinformation,11
859,Misinformation,30
860,Reliable,28
861,Misinformation,25
862,Misinformation,5
863,Reliable,28
864,Misinformation,5
865,Misinformation,10
866,Reliable,26
867,Reliable,10
868,Reliable,13
869,Misinformation,29
870,Reliable,11
871,Misinformation,5
872,Reliable,28
873,Misinformation,28
874,Misinformation,3
875,Misinformation,5
876,Reliable,28
877,Misinformation,28
878,Misinformation,10
879,Misinformation,1
880,Misinformation,10
881,Misinformation,11
882,Misinformation,10
883,Reliable,28
884,Reliable,21
885,Reliable,26
886,Misinformation,13
887,Misinformation,25
888,Misinformation,11
889,Misinformation,11
890,Reliable,28
891,Misinformation,25
892,Reliable,28
893,Misinformation,10
894,Reliable,25
895,Misinformation,11
896,Reliable,26
897,Misinformation,3
898,Reliable,13
899,Reliable,26
900,Reliable,25
901,Misinformation,25
902,Misinformation,25
903,Reliable,21
904,Reliable,28
905,Reliable,26
906,Reliable,28
907,Reliable,28
908,Reliable,11
909,Reliable,3
910,Reliable,3
911,Reliable,11
912,Misinformation,3
913,Reliable,13
914,Reliable,11
915,Reliable,5
916,Reliable,13
917,Misinformation,11
918,Misinformation,5
919,Reliable,26
920,Misinformation,10
921,Reliable,11
922,Reliable,21
923,Reliable,13
924,Misinformation,28
925,Reliable,28
926,Misinformation,11
927,Misinformation,3
928,Reliable,13
929,Misinformation,11
930,Misinformation,5
931,Misinformation,11
932,Misinformation,21
933,Misinformation,30
934,Reliable,25
935,Reliable,26
936,Reliable,13
937,Misinformation,28
938,Reliable,3
939,Reliable,26
940,Misinformation,10
941,Misinformation,25
942,Misinformation,5
943,Reliable,25
944,Reliable,13
945,Misinformation,26
946,Misinformation,29
947,Misinformation,28
948,Misinformation,10
949,Misinformation,21
950,Misinformation,10
951,Reliable,26
952,Misinformation,1
953,Reliable,26
954,Misinformation,5
955,Reliable,26
956,Reliable,26
957,Misinformation,1
958,Reliable,13
959,Misinformation,1
960,Misinformation,28
961,Reliable,28
962,Reliable,26
963,Misinformation,25
964,Reliable,28
965,Reliable,28
966,Misinformation,25
967,Reliable,5
968,Reliable,13
969,Misinformation,28
970,Reliable,13
971,Reliable,28
972,Reliable,25
973,Reliable,30
974,Misinformation,1
975,Misinformation,10
976,Reliable,28
977,Misinformation,5
978,Misinformation,28
979,Misinformation,5
980,Reliable,13
981,Misinformation,5
982,Misinformation,10
983,Misinformation,11
984,Misinformation,28
985,Reliable,26
986,Misinformation,11
987,Misinformation,5
988,Misinformation,28
989,Misinformation,10
990,Misinformation,11
991,Reliable,28
992,Reliable,13
993,Misinformation,28
994,Reliable,3
995,Misinformation,11
996,Reliable,26
997,Misinformation,5
998,Reliable,28
999,Misinformation,30
1000,Reliable,13
1001,Reliable,25
1002,Misinformation,25
1003,Misinformation,5
1004,Misinformation,25
1005,Misinformation,28
1006,Misinformation,10
1007,Misinformation,5
1008,Reliable,1
1009,Misinformation,5
1010,Misinformation,5
1011,Misinformation,11
1012,Reliable,3
1013,Reliable,26
1014,Reliable,26
1015,Misinformation,5
1016,Reliable,26
1017,Misinformation,25
1018,Misinformation,1
1019,Misinformation,11
1020,Misinformation,13
1021,Reliable,26
1022,Reliable,21
1023,Reliable,11
1024,Reliable,26
1025,Misinformation,26
1026,Misinformation,29
1027,Misinformation,1
1028,Reliable,25
1029,Misinformation,25
1030,Misinformation,29
1031,Misinformation,5
1032,Reliable,13
1033,Reliable,30
1034,Reliable,3
1035,Reliable,26
1036,Reliable,28
1037,Misinformation,28
1038,Misinformation,10
1039,Misinformation,10
1040,Reliable,28
1041,Reliable,26
1042,Reliable,28
1043,Misinformation,25
1044,Misinformation,5
1045,Misinformation,13
1046,Misinformation,10
1047,Misinformation,5
1048,Misinformation,28
1049,Misinformation,3
1050,Reliable,21
1051,Misinformation,5
1052,Reliable,26
1053,Misinformation,11
1054,Reliable,5
1055,Misinformation,1
1056,Misinformation,30
1057,Reliable,26
1058,Misinformation,1
1059,Misinformation,21
1060,Reliable,26
1061,Misinformation,5
1062,Reliable,29
1063,Reliable,28
1064,Misinformation,10
1065,Misinformation,10
1066,Reliable,13
1067,Reliable,1
1068,Reliable,28
1069,Reliable,28
1070,Reliable,13
1071,Misinformation,5
1072,Misinformation,1
1073,Reliable,5
1074,Reliable,26
1075,Reliable,13
1076,Reliable,13
1077,Misinformation,11
1078,Reliable,21
1079,Reliable,26
1080,Reliable,26
1081,Misinformation,5
1082,Misinformation,1
1083,Reliable,3
1084,Reliable,3
1085,Reliable,28
1086,Misinformation,29
1087,Misinformation,3
1088,Reliable,10
1089,Reliable,28
1090,Misinformation,5
1091,Misinformation,11
1092,Reliable,28
1093,Misinformation,10
1094,Reliable,3
1095,Misinformation,28
1096,Reliable,28
1097,Reliable,26
1098,Misinformation,11
1099,Misinformation,25
1100,Reliable,3
1101,Reliable,28
1102,Misinformation,5
1103,Reliable,3
1104,Reliable,25
1105,Reliable,26
1106,Reliable,26
1107,Misinformation,5
1108,Reliable,26
1109,Misinformation,5
1110,Reliable,13
1111,Reliable,13
1112,Misinformation,28
1113,Misinformation,5
1114,Misinformation,11
1115,Reliable,26
1116,Misinformation,5
1117,Reliable,26
1118,Misinformation,5
1119,Reliable,25
1120,Reliable,26
1121,Misinformation,1
1122,Misinformation,11
1123,Reliable,13
1124,Misinformation,1
1125,Reliable,26
1126,Misinformation,11
1127,Reliable,13
1128,Misinformation,3
1129,Reliable,5
1130,Reliable,13
1131,Misinformation,28
1132,Reliable,26
1133,Reliable,26
1134,Reliable,28
1135,Reliable,3
1136,Reliable,28
1137,Reliable,3
1138,Reliable,28
1139,Reliable,13
1140,Misinformation,4
1141,Reliable,28
1142,Reliable,13
1143,Reliable,13
1144,Reliable,26
1145,Misinformation,5
1146,Misinformation,5
1147,Reliable,13
1148,Misinformation,5
1149,Reliable,26
1150,Misinformation,28
1151,Reliable,10
1152,Reliable,28
1153,Misinformation,10
1154,Misinformation,3
1155,Misinformation,11
1156,Misinformation,5
1157,Reliable,10
1158,Misinformation,10
1159,Reliable,13
1160,Reliable,21
1161,Misinformation,1
1162,Reliable,28
1163,Reliable,26
1164,Misinformation,5
1165,Misinformation,5
1166,Misinformation,28
1167,Misinformation,10
1168,Misinformation,5
1169,Misinformation,3
1170,Reliable,28
1171,Misinformation,26
1172,Reliable,26
1173,Reliable,3
1174,Reliable,28
1175,Misinformation,5
1176,Misinformation,25
1177,Reliable,13
1178,Reliable,13
1179,Reliable,26
1180,Reliable,11
1181,Reliable,28
1182,Reliable,28
1183,Misinformation,10
1184,Misinformation,3
1185,Reliable,13
1186,Misinformation,28
1187,Misinformation,28
1188,Reliable,21
1189,Reliable,25
1190,Misinformation,5
1191,Misinformation,5
1192,Misinformation,10
1193,Misinformation,5
1194,Reliable,25
1195,Reliable,28
1196,Misinformation,11
1197,Reliable,5
1198,Reliable,5
1199,Misinformation,25
1200,Misinformation,5
1201,Misinformation,3
1202,Reliable,26
1203,Reliable,28
1204,Misinformation,5
1205,Misinformation,10
1206,Reliable,3
1207,Misinformation,1
1208,Misinformation,10
1209,Misinformation,11
1210,Misinformation,11
1211,Reliable,10
1212,Reliable,26
1213,Misinformation,10
1214,Misinformation,5
1215,Reliable,30
1216,Reliable,5
1217,Reliable,28
1218,Reliable,3
1219,Reliable,3
1220,Reliable,28
1221,Misinformation,1
1222,Misinformation,11
1223,Misinformation,11
1224,Reliable,10
1225,Misinformation,10
1226,Misinformation,1
1227,Misinformation,5
1228,Misinformation,10
1229,Reliable,28
1230,Reliable,10
1231,Reliable,3
1232,Reliable,21
1233,Misinformation,13
1234,Reliable,28
1235,Reliable,28
1236,Reliable,26
1237,Reliable,26
1238,Reliable,28
1239,Misinformation,28
1240,Misinformation,28
1241,Reliable,21
1242,Reliable,13
1243,Reliable,13
1244,Reliable,28
1245,Misinformation,3
1246,Misinformation,1
1247,Misinformation,28
1248,Misinformation,28
1249,Reliable,28
1250,Reliable,28
1251,Reliable,28
1252,Misinformation,11
1253,Reliable,26
1254,Reliable,5
1255,Reliable,11
1256,Reliable,13
1257,Misinformation,25
1258,Misinformation,3
1259,Misinformation,28
1260,Misinformation,11
1261,Misinformation,28
1262,Reliable,28
1263,Misinformation,1
1264,Misinformation,28
1265,Reliable,5
1266,Misinformation,11
1267,Misinformation,11
1268,Misinformation,5
1269,Misinformation,28
1270,Misinformation,30
1271,Misinformation,21
1272,Reliable,13
1273,Reliable,28
1274,Reliable,25
1275,Misinformation,25
1276,Reliable,28
1277,Misinformation,11
1278,Misinformation,28
1279,Reliable,3
1280,Reliable,13
1281,Reliable,26
1282,Reliable,28
1283,Reliable,3
1284,Misinformation,25
1285,Reliable,28
1286,Reliable,25
1287,Misinformation,11
1288,Misinformation,10
1289,Misinformation,13
1290,Reliable,28
1291,Reliable,3
1292,Misinformation,11
1293,Reliable,28
1294,Reliable,28
1295,Misinformation,1
1296,Misinformation,10
1297,Misinformation,11
1298,Misinformation,11
1299,Misinformation,29
1300,Reliable,10
1301,Reliable,26
1302,Misinformation,11
1303,Misinformation,13
1304,Reliable,10
1305,Misinformation,5
1306,Misinformation,1
1307,Reliable,26
1308,Reliable,28
1309,Misinformation,5
1310,Reliable,28
1311,Reliable,26
1312,Reliable,28
1313,Reliable,13
1314,Reliable,26
1315,Misinformation,1
1316,Reliable,28
1317,Reliable,28
1318,Misinformation,28
1319,Reliable,26
1320,Misinformation,11
1321,Reliable,30
1322,Misinformation,5
1323,Reliable,28
1324,Misinformation,28
1325,Reliable,13
1326,Reliable,13
1327,Misinformation,5
1328,Misinformation,10
1329,Reliable,26
1330,Misinformation,26
1331,Reliable,3
1332,Misinformation,11
1333,Reliable,13
1334,Reliable,26
1335,Reliable,28
1336,Misinformation,25
1337,Reliable,25
1338,Misinformation,30
1339,Reliable,21
1340,Reliable,26
1341,Misinformation,5
1342,Misinformation,3
1343,Reliable,30
1344,Misinformation,5
1345,Misinformation,5
1346,Reliable,28
1347,Reliable,28
1348,Misinformation,11
1349,Reliable,26
1350,Reliable,28
1351,Misinformation,29
1352,Misinformation,25
1353,Reliable,25
1354,Misinformation,1
1355,Reliable,3
1356,Misinformation,5
1357,Reliable,25
1358,Misinformation,26
1359,Misinformation,11
1360,Misinformation,30
1361,Misinformation,28
1362,Reliable,28
1363,Reliable,28
1364,Reliable,11
1365,Misinformation,25
1366,Reliable,13
1367,Misinformation,1
1368,Reliable,28
1369,Misinformation,13
1370,Misinformation,28
1371,Reliable,28
1372,Reliable,25
1373,Reliable,13
1374,Misinformation,28
1375,Misinformation,1
1376,Misinformation,5
1377,Reliable,30
1378,Reliable,30
1379,Misinformation,11
1380,Reliable,25
1381,Misinformation,1
1382,Reliable,26
1383,Misinformation,11
1384,Reliable,26
1385,Reliable,3
1386,Misinformation,29
1387,Reliable,28
1388,Misinformation,10
1389,Reliable,28
1390,Misinformation,28
1391,Reliable,13
1392,Reliable,28
1393,Reliable,5
1394,Reliable,13
1395,Reliable,21
1396,Misinformation,1
1397,Reliable,28
1398,Misinformation,5
1399,Misinformation,25
1400,Reliable,26
1401,Misinformation,28
1402,Reliable,13
1403,Misinformation,11
1404,Reliable,28
1405,Reliable,26
1406,Reliable,28
1407,Reliable,26
1408,Reliable,28
1409,Misinformation,13
1410,Reliable,28
1411,Misinformation,10
1412,Reliable,13
1413,Reliable,13
1414,Reliable,26
1415,Misinformation,11
1416,Reliable,28
1417,Misinformation,29
1418,Reliable,13
1419,Reliable,21
1420,Reliable,28
1421,Misinformation,28
1422,Misinformation,10
1423,Misinformation,1
1424,Reliable,26
1425,Reliable,1
1426,Reliable,26
1427,Misinformation,5
1428,Misinformation,10
1429,Reliable,26
1430,Reliable,28
1431,Misinformation,5
