text,true_label,predicted_label,confidence,analysis_category,text_length
a video shows tablighi jamaat member running naked in an isolation ward,Factual,Misinformation,0.9535234,Incorrect - High Confidence,12
ask yourself why they have been treating with hiv drugs from the start. the virus even responds to treatment by hiv medications. it must derive from hiv,Factual,Misinformation,0.9019421,Incorrect - High Confidence,27
"dawoodi bohra youth were licking used utensils, which is being done in mosques with an intention to spread the coronavirus and infect more people",Factual,Misinformation,0.9502325,Incorrect - High Confidence,24
only those over 60 years of age and those with existing health problems are at risk from the coronavirus,Misinformation,Factual,0.9560522,Incorrect - High Confidence,19
health care professionals have repeatedly refuted comments from a white house adviser suggesting that the media is overstating the need for personal protective equipment in hospitals amid the novel coronavirus pandemic,Factual,Misinformation,0.51217985,Incorrect - Low Confidence,31
the bombay high court (hc) has ordered an extension of the ongoing lockdown in the state till april 30,Factual,Misinformation,0.6668762,Incorrect - Low Confidence,19
"multiple sources say that there was frustration among fema employees over being brought into coronavirus response too late, coupled with fear the agency would ultimately take blame for the bungled response",Misinformation,Factual,0.74151194,Incorrect - Medium Confidence,31
"daniel dae kim, 51, announced on thursday that he has tested positive for covid-19. kim said that he received a test after experiencing a scratchy throat. he also said that he’s willing to donate antibodies to find a vaccine",Misinformation,Factual,0.7512186,Incorrect - Medium Confidence,39
marijuana can treat 2019 novel coronavirus,Factual,Misinformation,0.64267194,Incorrect - Low Confidence,6
china air quality projections used to promote coronavirus cremation hoax,Factual,Misinformation,0.8952345,Incorrect - Medium Confidence,10
'the walking dead' season finale postponed due to production delays caused by coronavirus outbreak,Factual,Misinformation,0.7126108,Incorrect - Medium Confidence,14
#covid19 #plandemic judy mikovits should replace tony fauci as head of infectious disease control. she can explain things so much more clearly.,Misinformation,Factual,0.73742056,Incorrect - Medium Confidence,22
"we cannot return to ed sheeran post-coronavirus, warn experts",Misinformation,Factual,0.6095084,Incorrect - Low Confidence,9
"#covid19 #coronavirus #coronavirusupdate cases /total tests in india (7 apr): 4,911/1,40,293 = only 3.5%! reasons for this good news: tb vaccination (bcg) effect. timely travel restrictions and #lockdown. let’s build on the gain. #stayhome",Misinformation,Factual,0.8171885,Incorrect - Medium Confidence,34
breaking: coleen rooney confirms she has launched her own investigation into whether china tried to cover up the coronavirus outbreak,Misinformation,Factual,0.529009,Incorrect - Low Confidence,20
pm's operation moonshot plan 'can be done' says chinese company behind new 30-minute covid-19 test,Factual,Misinformation,0.7642478,Incorrect - Medium Confidence,15
3m is not a good corporate citizen after mask shortage led to price gouging,Factual,Misinformation,0.6059383,Incorrect - Low Confidence,14
"a german scientist made a coronavirus test back in january, and shared it with the world to give countries outside china a head-start on beating the disease",Factual,Misinformation,0.6526905,Incorrect - Low Confidence,27
what does #coronavirus and #hiv have in common? parents,Factual,Misinformation,0.8187622,Incorrect - Medium Confidence,9
"a man in morristown, n.j., has gone viral after he was spotted holding a sign thanking medical staff for “saving [his] wife’s life.”",Factual,Misinformation,0.86753625,Incorrect - Medium Confidence,23
government announces four more weeks of lockdown for britain and 44 more weeks of lockdown for priti patel,Misinformation,Factual,0.51091784,Incorrect - Low Confidence,18
cheap and widely used steroid hailed as 'major breakthrough' in coronavirus treatment.,Factual,Misinformation,0.8924352,Incorrect - Medium Confidence,12
volunteers across the us have formed sewing groups to make as many masks as they can for hospitals in need of more supplies,Misinformation,Factual,0.8024179,Incorrect - Medium Confidence,23
"the election was originally scheduled for may 26, but it has been postponed ""in conjunction with the state's ongoing efforts to mitigate the spread of covid-19,"" says a release from the governor's office",Misinformation,Factual,0.78890574,Incorrect - Medium Confidence,33
"nicola zingaretti, the leader of the governing democratic party, visited milan on february 27, with a group of students, encouraging people to go out as a sign of strength against the coronavirus threat. “we must not change our habits,” he wrote in a social media post, according to the guardian. “our economy is stronger than fear: let’s go out for an aperitivo, a coffee or to eat a pizza.” he tested positive with the coronavirus nine days later",Factual,Misinformation,0.76604676,Incorrect - Medium Confidence,78
"house speaker nancy pelosi on thursday claimed that democrats “won the day” in obtaining what they wanted from the senate’s $2.2 trillion coronavirus response stimulus package, while hinting at other items she would like to see included in a forthcoming bill",Factual,Misinformation,0.7556132,Incorrect - Medium Confidence,41
this is a great thread regarding what’s known about the 2019 #wuhancoronovirus ! #ncov #ncov2019 #idtwitter #meded,Factual,Misinformation,0.85142183,Incorrect - Medium Confidence,17
younger covid-19 patients are harder to track than their elders.,Factual,Misinformation,0.57314897,Incorrect - Low Confidence,10
"u.s. president barack obama waited until millions were infected and thousands were dead before declaring a public health emergency concerning swine flu, the h1n1 virus",Factual,Misinformation,0.8405016,Incorrect - Medium Confidence,25
"this time will eventually pass. we will emerge stronger. but lessons learnt about ""how to care for your health"" should not be forgotten. #stayhealthy #livelife #covidlockdown",Misinformation,Factual,0.8620466,Incorrect - Medium Confidence,26
no normally functioning economy if thousands of americans die from coronavirus,Factual,Misinformation,0.71650654,Incorrect - Medium Confidence,11
chinese locked down in coronavirus epicentre wuhan fight despair and boredom with humour,Factual,Misinformation,0.7805773,Incorrect - Medium Confidence,13
"coronavirus cases in us should not cause mass panic, experts warn: 'you are more at risk for the flu'",Misinformation,Factual,0.744436,Incorrect - Medium Confidence,19
"dc comedy club forced to lay off staff, livestream events amid coronavirus",Factual,Misinformation,0.6319306,Incorrect - Low Confidence,12
french asians hit back at racism with 'i am not a virus' hashtag,Factual,Misinformation,0.75333506,Incorrect - Medium Confidence,13
238 indonesians from china arrive in natuna island to be quarantined for the next 14 days,Factual,Misinformation,0.6527863,Incorrect - Low Confidence,16
you shouldn’t have to say it. coronavirus parties are a bad idea. via 🎉 🚫 😠,Factual,Misinformation,0.6792305,Incorrect - Low Confidence,16
"a 2015 patent filed by the pirbright institute in surrey, england talks about developing a weakened version of coronavirus for potential use as a vaccine to prevent or treat respiratory diseases",Factual,Misinformation,0.7919674,Incorrect - Medium Confidence,31
skin lesions and neutropenic fever. solve this case now.,Factual,Misinformation,0.8006115,Incorrect - Medium Confidence,9
all mormon temples worldwide are closing due to the coronavirus pandemic,Factual,Misinformation,0.704985,Incorrect - Medium Confidence,11
metformin may lower risk for fatal covid-19.,Factual,Misinformation,0.56171167,Incorrect - Low Confidence,7
"doctors took this baby to the neonatal intensive care unit as soon as he was born. but now, his parents can't visit him anymore because of concerns about coronavirus",Factual,Misinformation,0.6121447,Incorrect - Low Confidence,29
israel has become the first country in the world to announce a second national #coronavirus lockdown,Factual,Misinformation,0.68737346,Incorrect - Low Confidence,16
brazil recorded more deaths in the first half of 2019 than in the first half of 2020.,Misinformation,Factual,0.5022352,Incorrect - Low Confidence,17
untreated vitamin d deficiency linked to an increased risk of covid-19.,Factual,Misinformation,0.55437726,Incorrect - Low Confidence,11
despite the covid-19 pandemic the total number of deaths in brazil decreased rather than increased when we compare the months of april 2019 and april 2020. this statement is backed by the national civil registry data.,Misinformation,Factual,0.7042022,Incorrect - Medium Confidence,36
"cambodian pm says he will visit students in china's wuhan for moral support ""burdened by sanctions, north korea sees coronavirus threaten economic lifelines""",Factual,Misinformation,0.5864948,Incorrect - Low Confidence,23
coronavirus: sir keir starmer says second lockdown would be 'government failure - not an act of god',Factual,Misinformation,0.62981,Incorrect - Low Confidence,17
#breaking: 10 italian doctors have died due to #covid19. they died trying to save people's lives and in return sacrificed theirs. my condolences to their families. #coronavirus #coronaoutbreak #covid19italy #covid19ireland,Misinformation,Factual,0.7789665,Incorrect - Medium Confidence,30
"coronavirus grown in lab outside china for first time, aiding the search for vaccine",Factual,Misinformation,0.6944486,Incorrect - Low Confidence,14
bodies packed in body bags are being dumped in mass graves in italy and spain,Factual,Misinformation,0.8491513,Incorrect - Medium Confidence,15
"""yes, we know they have spent your whole life and decades beforehand doing everything within their power to screw people of your generation over, but it's really important that you don't reciprocate, for some reason""",Factual,Misinformation,0.67852473,Incorrect - Low Confidence,35
"some states are only getting 50 tests per day, and the utah jazz got 58",Factual,Misinformation,0.8052651,Incorrect - Medium Confidence,15
a speedy home #covid-19 test praised by white house is under fire along with fda standards.,Factual,Misinformation,0.76563126,Incorrect - Medium Confidence,16
"“flying into wuhan was otherworldly, the normally crackling busy airspace was dead silent.” iaf c-17 pilot who captained rescue flight to wuhan exactly a month ago, joins me on with the amazing story of his mission. must watch @ 1.30pm on tv",Misinformation,Factual,0.72900105,Incorrect - Medium Confidence,42
coronavirus: slovenia and guadeloupe added to england's quarantine list - but thailand and singapore removed,Factual,Misinformation,0.5289453,Incorrect - Low Confidence,15
what happens to the job prospects of people made long-term unemployed by #covid19? ceo says being unemployed for more than a 1yr reduces your chance of finding work again by 40%. we found that to be a fair call: #factcheck #auspol,Misinformation,Factual,0.7096262,Incorrect - Medium Confidence,41
many states still can't test locally for coronavirus despite promises from trump regime,Factual,Misinformation,0.6041201,Incorrect - Low Confidence,13
if flu and coronavirus collide we’re in for real trouble.,Factual,Misinformation,0.7808426,Incorrect - Medium Confidence,10
"mathematically you will rule out ""mars"" and settle on the virus research lab in wuhan as the most probable covid-19 hotspot, putting in to consideration the kind of research they have been doing on bat immunity (knock outs)",Factual,Misinformation,0.8951328,Incorrect - Medium Confidence,38
"prof. rai, the principal investigator of the covid-19 vaccine trial at community medicine and aiims, announced that phase ii trials for covaxin will be completed by october and will move to phase iii soon (after trials).",Misinformation,Factual,0.7369288,Incorrect - Medium Confidence,36
china accuses u.s. of scaremongerng over coronavirus,Factual,Misinformation,0.7298806,Incorrect - Medium Confidence,7
"no, china would be chn on the plot. they still underperform somewhat on healthcare. however, the people of costa rica (cri) outlive us while spending less than 20% what we do on healthcare",Factual,Misinformation,0.74165684,Incorrect - Medium Confidence,33
cambodia says china too busy fighting virus to organize pm trip to wuhan,Factual,Misinformation,0.68812,Incorrect - Low Confidence,13
"regional, national supermarket chains install dividers at cash registers in us",Factual,Misinformation,0.6571082,Incorrect - Low Confidence,11
"masoumeh ebtekar, vice-president of iran for women and family affairs, is another high-ranking official who tested positive for the virus",Factual,Misinformation,0.744001,Incorrect - Medium Confidence,20
coronavirus before it reaches the lungs it remains in the throat for four days and at this time the person begins to cough and have throat pains. if he drinks water a lot and gargling with warm water & salt or vinegar eliminates the virus. spread this information because you can save someone with this information.,Misinformation,Factual,0.6130656,Incorrect - Low Confidence,56
"world steam week, according to doctors, if covid-19 is hit by steam from the nose, the corona can be eradicated. everyone should start a steam campaign. to work in the above direction, we urge people from all over the world to start the steam process for a week from 07 august to 14 august, namely morning, afternoon and evening. just 5 minutes to inhale steam. by adopting this practice for a week we are sure that the deadly covid-19 will be erased, please send this message to all our groups, relatives, friends and neighbors so that we can all kill this coronavirus together and this beautiful hv can run freely in the world. thank you, request to be sent to each group",Misinformation,Factual,0.5800557,Incorrect - Low Confidence,122
the department of health and human services on thursday implemented president trump’s executive order to prevent the hoarding of certain health and medical resources necessary to respond to the coronavirus outbreak,Misinformation,Factual,0.69228363,Incorrect - Low Confidence,31
a researcher from zanjan university in china said you should take as much vitamin c as possible to protect yourself from the virus,Factual,Misinformation,0.78028893,Incorrect - Medium Confidence,23
